name,name2
dc,电池
dcblq,电瓷避雷器
ddyhb,电镀与环保
ddyjs,电镀与精饰
ddyts,电镀与涂饰
dgdnxjs,电工电能新技术
dgjsxb,电工技术学报
dgykz,电光与控制
dhj,电焊机
dhjyyj,电化教育研究
dhx,电化学
djykzxb,电机与控制学报
djykzyy,电机与控制应用
dldzjs,电力电子技术
dlxtbhykz,电力系统保护与控制
dlxtjqzdhxb,电力系统及其自动化学报
dlxtzdh,电力系统自动化
dlzdhsb,电力自动化设备
dlyxtxb,电路与系统学报
dqcd,电气传动
dqyy,电气应用
dsjs,电视技术
dsyj,电视研究
dwjs,电网技术
dxkx,电信科学
dxjs,电讯技术
dywx,电影文学
dyxz,电影新作
dyys,电影艺术
dyjs,电源技术
dzxtgc,电站系统工程
dzjsyy,电子技术应用
dzkjdxxb,电子科技大学学报
dzqj,电子器件
dzxb,电子学报
dzyxxxb,电子与信息学报
dzyjycl,电子元件与材料
dysj,调研世界
dbdxxb-shkxb,东北大学学报. 社会科学版
dbdxxb-zrkxb,东北大学学报. 自然科学版
dblydxxb,东北林业大学学报
dbnydxxb,东北农业大学学报
dbsdxb-zxshkxb,东北师大学报. 哲学社会科学版
dbsdxb-zrkxb,东北师大学报. 自然科学版
dbyls,东北亚论坛
dhdxxb-zrkxb,东华大学学报. 自然科学版
djxk,东疆学刊
dndxxb-zxshkxb,东南大学学报. 哲学社会科学版
dndxxb-zrkxb,东南大学学报. 自然科学版
dnwh,东南文化
dnxs,东南学术
dnyyj,东南亚研究
dylc,东岳论丛
dlgcgmwdlgcxb,动力工程（改名为：动力工程学报）
dwflxb,动物分类学报
dwxyj,动物学研究
dwxzz,动物学杂志
dwyxjz,动物医学进展
dwyyxb,动物营养学报
dskgjt,都市快轨交通
dlxzz,毒理学杂志
ds,读书
dpxs-yczpb,短篇小说. 原创作品版
dyjs,锻压技术
dwjmsw,对外经贸实务
dhxjk,敦煌学辑刊
dhyj,敦煌研究
elswy,俄罗斯文艺
elsyj,俄罗斯研究
elszydoyj,俄罗斯中亚东欧研究
fgxb,发光学报
flkx,法律科学
flsy,法律适用
fsyj,法商研究
fx,法学
fxj,法学家
fxls,法学论坛
fxpl,法学评论
fxyj,法学研究
fxzz,法学杂志
fy,法音
fzyshfz,法制与社会发展
fy,方言
fzjzgcxb,防灾减灾工程学报
fzdb,纺织导报
fzxb,纺织学报
fhdd,飞航导弹
fxlx,飞行力学
fjsk,非金属矿
fxcsxb,分析测试学报
fxhx,分析化学
fxkxxb,分析科学学报
fxsys,分析试验室
fzch,分子催化
fzkxxb,分子科学学报
fzzwyz,分子植物育种
fmyjclkxygc,粉末冶金材料科学与工程
fmyjgy,粉末冶金工业
fmyjjs,粉末冶金技术
r,芙蓉
fjlxyxb,福建林学院学报
fjlykj,福建林业科技
fjls-rwshkxb,福建论坛. 人文社会科学版
fjnldxxb-zrkxb,福建农林大学学报. 自然科学版
fjsfdxxb-zxshkxb,福建师范大学学报. 哲学社会科学版
fjsfdxxb-zrkxb,福建师范大学学报. 自然科学版
fzdxxb-zxshkxb,福州大学学报. 哲学社会科学版
fzdxxb-zrkxb,福州大学学报. 自然科学版
fsfh,辐射防护
fskxyfhjs,腐蚀科学与防护技术
fsyfh,腐蚀与防护
fnyjlc,妇女研究论丛
fdjyls,复旦教育论坛
fdxb-shkxb,复旦学报. 社会科学版
fdxb-yxb,复旦学报. 医学版
fdxb-zrkxb,复旦学报. 自然科学版
fhclxb,复合材料学报
fzxtyfzxkx,复杂系统与复杂性科学
gg,改革
ghdqnyyj,干旱地区农业研究
ghqdl,干旱区地理
ghqyj,干旱区研究
ghqzyyhj,干旱区资源与环境
gsnydxxb,甘肃农业大学学报
gsshkx,甘肃社会科学
gszfxyxb,甘肃政法学院学报
gt,钢铁
gtf,钢铁钒钛
gtyjxb,钢铁研究学报
gdgcjyyj,高等工程教育研究
gdjyyj,高等教育研究
gdnyjy,高等农业教育
gdxxhxxb,高等学校化学学报
gdxxjssxxb,高等学校计算数学学报
gdyjs,高电压技术
gfzclkxygc,高分子材料科学与工程
gfztb,高分子通报
gfzxb,高分子学报
gjstx,高技术通讯
gjss,高教探索
gxdzxb,高校地质学报
gxhxgcxb,高校化学工程学报
gxllzx,高校理论战线
gxyysxxb-Aj,高校应用数学学报. A辑
gydq,高压电器
gywlxb,高压物理学报
gyqx,高原气象
gcbp,工程爆破
gcdzxb,工程地质学报
gckzyjggz,工程抗震与加固改造
gclx,工程力学
gcrwlxb,工程热物理学报
gcsjxb,工程设计学报
gcsxxb,工程数学学报
gcslyy,工程塑料应用
gctxxb,工程图学学报
gkzdh,工矿自动化
gyaqyhb,工业安全与环保
gygc,工业工程
gygcygl,工业工程与管理
gyjsjj,工业技术经济
gyjz,工业建筑
gyscl,工业水处理
gywsyzyb,工业卫生与职业病
ggglxb,公共管理学报
gl,公路
glgc,公路工程
gljtkj,公路交通科技
gncl,功能材料
gnclyqjxb,功能材料与器件学报
gngfzxb,功能高分子学报
gdlxb,古地理学报
ghyyj,古汉语研究
gjzlyjxk,古籍整理研究学刊
gjzdwxb,古脊椎动物学报
gswxb,古生物学报
gtdzxyjyjz,固体电子学研究与进展
gthjjs,固体火箭技术
gtlxxb,固体力学学报
ggbwyyk,故宫博物院院刊
glgcxb,管理工程学报
glkx,管理科学
glkxxb,管理科学学报
glpl,管理评论
glsj,管理世界
glxdh,管理现代化
glxb,管理学报
ggpsxb,灌溉排水学报
gdgc,光电工程
gdzjg,光电子、激光
gdzjs,光电子技术
gpxygpfx,光谱学与光谱分析
gssxb,光散射学报
gtxjs,光通信技术
gtxyj,光通信研究
gxjs,光学技术
gxjmgc,光学精密工程
gxxb,光学学报
gzxb,光子学报
gdjrxyxb,广东金融学院学报
gdnykx,广东农业科学
gdsxyxb,广东商学院学报
gdshkx,广东社会科学
gdxzxyxb,广东行政学院学报
gdyx,广东医学
gxdxxb-zrkxb,广西大学学报. 自然科学版
gxmzdxxb-zxshkxb,广西民族大学学报. 哲学社会科学版
gxmzyj,广西民族研究
gxnykxgmwnfnyxb,广西农业科学（改名为：南方农业学报）
gxnyswkxgmwjyzxyyyswx,广西农业生物科学（改名为：基因组学与应用生物学）
gxshkx,广西社会科学
gxsfdxxb-zxshkxb,广西师范大学学报. 哲学社会科学版
gxsfdxxb-zrkxb,广西师范大学学报. 自然科学版
gxzw,广西植物
gztyxyxb,广州体育学院学报
gzzyydxxb,广州中医药大学学报
ghs,规划师
gsytb,硅酸盐通报
gsyxb,硅酸盐学报
gjs,贵金属
gzcjxyxb,贵州财经学院学报
gzmzyj,贵州民族研究
gznykx,贵州农业科学
gzshkx,贵州社会科学
glgxyxbgmwgllgdxxb,桂林工学院学报（改名为：桂林理工大学学报）
gljs,锅炉技术
gfkjdxxb,国防科技大学学报
gjcsgh,国际城市规划
gjgc,国际观察
gjjryj,国际金融研究
gjjjhz,国际经济合作
gjjjpl,国际经济评论
gjjmss,国际经贸探索
gjls,国际论坛
gjmy,国际贸易
gjmywt,国际贸易问题
gjnxgbzz,国际脑血管病杂志
